Date,Dividends,Company
05/14/2020,0.74,Eli Lilly and Company (LLY)
02/09/1988,0.5752,Eli Lilly and Company (LLY)
11/02/1979,0.03281,Eli Lilly and Company (LLY)
08/11/1999,0.23,Eli Lilly and Company (LLY)
05/13/1974,0.01469,Eli Lilly and Company (LLY)
02/14/2018,0.5625,Eli Lilly and Company (LLY)
08/13/2020,0.74,Eli Lilly and Company (LLY)
08/13/2012,0.49,Eli Lilly and Company (LLY)
11/12/2008,0.47,Eli Lilly and Company (LLY)
08/11/1995,0.6452,Eli Lilly and Company (LLY)
08/12/1974,0.01563,Eli Lilly and Company (LLY)
11/06/1987,0.5,Eli Lilly and Company (LLY)
08/13/2008,0.47,Eli Lilly and Company (LLY)
02/11/2009,0.49,Eli Lilly and Company (LLY)
02/05/1981,0.03594,Eli Lilly and Company (LLY)
08/14/2019,0.645,Eli Lilly and Company (LLY)
08/10/1981,0.03594,Eli Lilly and Company (LLY)
11/06/1992,0.55,Eli Lilly and Company (LLY)
02/12/2014,0.49,Eli Lilly and Company (LLY)
08/12/2015,0.5,Eli Lilly and Company (LLY)
08/08/1977,0.02219,Eli Lilly and Company (LLY)
05/13/2003,0.335,Eli Lilly and Company (LLY)
02/09/1989,0.6752,Eli Lilly and Company (LLY)
08/09/1990,0.41,Eli Lilly and Company (LLY)
11/13/2001,0.28,Eli Lilly and Company (LLY)
02/10/2010,0.49,Eli Lilly and Company (LLY)
05/11/2007,0.425,Eli Lilly and Company (LLY)
11/08/1988,0.5752,Eli Lilly and Company (LLY)
08/09/1984,0.04531,Eli Lilly and Company (LLY)
05/13/1997,0.36,Eli Lilly and Company (LLY)
11/10/1998,0.2,Eli Lilly and Company (LLY)
05/11/2001,0.28,Eli Lilly and Company (LLY)
02/10/1986,0.4504,Eli Lilly and Company (LLY)
08/11/1980,0.03594,Eli Lilly and Company (LLY)
02/08/1982,0.04063,Eli Lilly and Company (LLY)
02/09/1973,0.01181,Eli Lilly and Company (LLY)
08/13/2014,0.49,Eli Lilly and Company (LLY)
02/11/2015,0.5,Eli Lilly and Company (LLY)
08/09/1976,0.02031,Eli Lilly and Company (LLY)
08/11/2010,0.49,Eli Lilly and Company (LLY)
08/07/1972,0.01138,Eli Lilly and Company (LLY)
05/09/1989,0.3376,Eli Lilly and Company (LLY)
02/09/1987,0.5,Eli Lilly and Company (LLY)
